1 , 1 , 2002016864 , 1 , enq
1 , 1 , 2002016864 , 0 , deq
1 , 2 , 2003016864 , 1 , enq
1 , 2 , 2003703264 , 0 , deq
1 , 3 , 2004016864 , 1 , enq
1 , 4 , 2005016864 , 2 , enq
1 , 3 , 2005389664 , 1 , deq
1 , 5 , 2006016864 , 2 , enq
1 , 6 , 2007016864 , 3 , enq
1 , 4 , 2007076064 , 2 , deq
1 , 7 , 2008016864 , 3 , enq
1 , 5 , 2008762464 , 2 , deq
1 , 8 , 2009016864 , 3 , enq
1 , 9 , 2010016864 , 4 , enq
1 , 6 , 2010448864 , 3 , deq
1 , 10 , 2011016864 , 4 , enq
1 , 7 , 2012135264 , 3 , deq
1 , 8 , 2013821664 , 2 , deq
1 , 9 , 2015508064 , 1 , deq
1 , 10 , 2017194464 , 0 , deq
1 , 11 , 2045389664 , 1 , enq
1 , 11 , 2045389664 , 0 , deq
1 , 12 , 2047076064 , 1 , enq
1 , 12 , 2047076064 , 0 , deq
1 , 13 , 2048762464 , 1 , enq
1 , 13 , 2048762464 , 0 , deq
1 , 14 , 2050448864 , 1 , enq
1 , 14 , 2050448864 , 0 , deq
1 , 15 , 2052135264 , 1 , enq
1 , 15 , 2052135264 , 0 , deq
1 , 16 , 2053821664 , 1 , enq
1 , 16 , 2053821664 , 0 , deq
1 , 17 , 2055508064 , 1 , enq
1 , 17 , 2055508064 , 0 , deq
1 , 18 , 2057194464 , 1 , enq
1 , 18 , 2057194464 , 0 , deq
1 , 19 , 2058880864 , 1 , enq
1 , 19 , 2058880864 , 0 , deq
1 , 20 , 2060567264 , 1 , enq
1 , 20 , 2060567264 , 0 , deq
