[  0%] Building CXX object examples/tutorial/CMakeFiles/fifth.dir/fifth.cc.o
[01m[K/home/henil/Downloads/ns-allinone-3.40/ns-3.40/examples/tutorial/fifth.cc:89:1:[m[K [01;35m[Kwarning: [m[K‘[01m[Kvoid[01;32m[K RxDrop[m[K(ns3::Ptr<const ns3::Packet>)[m[K’ defined but not used [[01;35m[K-Wunused-function[m[K]
   89 | [01;35m[KRxDrop[m[K(Ptr<const Packet> p)
      | [01;35m[K^~~~~~[m[K
[  0%] Linking CXX executable /home/henil/Downloads/ns-allinone-3.40/ns-3.40/build/examples/tutorial/ns3.40-fifth-default
1.00837	5360
1.01852	5896
1.02041	6432
1.0267	6968
1.03502	7504
1.04334	8040
1.05166	8576
1.05998	9112
1.0683	9648
1.08497	7718
1.15239	8254
1.19402	6432
2.17735	536
2.18741	1072
2.19842	1608
2.20942	2144
2.21948	2680
2.23052	1072
2.24058	1608
2.26072	2144
2.28179	2680
2.29468	3216
2.31386	3752
2.32675	4288
2.34059	4824
2.35599	5360
2.36983	5896
2.38272	6432
2.39656	6968
2.40977	7504
2.41544	8040
2.4211	8576
2.42676	9112
2.43054	9648
2.43432	10184
2.43809	10720
2.44187	11256
2.44564	11792
2.44942	12328
2.4532	12864
2.45697	13400
2.46212	13936
2.47527	14472
2.49191	15008
2.50855	15544
2.52519	16080
2.55015	16616
2.56679	17152
2.58343	17688
2.60007	18224
2.61671	18760
2.63335	19296
2.64999	19832
2.66663	20368
2.69159	20904
2.70823	21440
2.72487	21976
2.74151	22512
2.75815	23048
2.77479	23584
2.79143	24120
2.80807	24656
2.83303	25192
2.84967	25728
2.86631	26264
2.88295	26800
2.89959	27336
2.91623	27872
2.93287	28408
2.94951	28944
2.97447	29480
2.99111	30016
3.00775	30552
3.02439	31088
3.04103	31624
3.05767	32160
3.07431	32696
3.09095	33232
3.11591	33768
3.13255	34304
3.15751	34840
3.18247	35376
3.20743	35912
3.23239	36448
3.25735	36984
3.28231	37520
3.30727	38056
3.33223	38592
3.35719	39128
3.38218	31302
3.44871	31838
3.54023	32374
3.63175	32910
3.69002	26156
3.89799	26692
4.13009	21011
4.14111	21547
4.23079	22083
4.32231	22619
4.50449	18009
4.51457	18545
4.69671	19081
4.88807	19617
5.08775	20153
5.12849	15865
5.16263	16401
5.32903	16937
5.49543	17473
5.67015	18009
5.85319	18545
5.9697	14579
6.00295	15115
6.15274	12006
6.1628	12542
6.20266	9862
6.26833	7718
6.27841	8254
6.36071	8790
6.45223	9326
6.54375	9862
6.64359	10398
6.75175	10934
6.86823	11470
6.8849	9004
6.91818	6860
6.93479	7396
6.97555	1072
6.99483	1608
7.01495	2144
7.03601	2680
7.05127	3216
7.08455	3752
7.11783	4288
7.15943	4824
7.20103	5360
7.25095	5896
7.30919	6432
7.3342	1072
7.35259	1608
7.37271	2144
7.39377	2680
7.40903	3216
7.44231	3752
7.47559	4288
7.51719	4824
7.56711	5360
7.61703	5896
7.66695	6432
7.72519	6968
7.78343	7504
7.82503	8040
7.86663	8576
7.89991	9112
7.9249	7289
7.96647	7825
8.04967	8361
8.13201	6432
8.14209	6968
8.19943	7504
8.28263	8040
8.36583	8576
8.42407	9112
8.47399	9648
8.51559	10184
8.5489	8147
8.60711	8683
8.69863	9219
8.74026	7289
8.76519	7825
8.84839	8361
8.93159	8897
9.02311	9433
9.0897	7289
9.09976	7825
9.13873	6003
9.17287	6539
9.23111	7075
9.28935	7611
